type_stands,X,Y,Easting,Northing,location_stand,no_stands,physical_condition,occupancy,expanded_capacity,security_safetyrating,lighting,protection_weather,large_development,ease_access,proximity_cyclenetwork,commercial,retail,residential,transportation,education,recreational,entertainment,restaurants,expanded_stands,,Batch No.,adjusted_easting,adjusted_northing
Sheffield Stand,-6.264808774,53.3508299,315597.866,234778.739,"Parnell Street, outside Burger King",4,High,75,250,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,,,4177.866,3834.739
Sheffield Stand,-6.267952323,53.348618,315394.526,234527.509,Mary street outside Mary Mall,2,High,100,250,High,High,Low,All,Good,Unknown,,,,,,,,,6,,,3974.526,3583.509
Sheffield Stand,-6.269868761,53.35896725,315238.991,235676.104,Berkeley road outside Flanagans pharmacy,2,High,0,250,Medium,High,Low,All,Good,Adjacent & Visible,,,,,,,,,5,,,3818.991,4732.104
Stainless Steel Curved,-6.24368906,53.34900307,317009.128,234609.842,Mayor street lower outside AIB,6,High,100,250,High,High,Low,All,Good,Visible,,,,Yes,,,,,15,,,5589.128,3665.842
Stainless Steel Curved,-6.24969855,53.34960348,316607.33,234666.827,George's Dock across the road from KPMG,4,High,63,250,High,High,Low,All,Good,Unknown,,,,,,,,,10,,,5187.33,3722.827
Railing,-6.260666102,53.34371105,315893.014,233993.252,Suffolk street,4,High,90,200,High,High,Low,,Good,Unknown,Yes,,,,,,,,8,,,4473.014,3049.252
Railing,-6.261174381,53.3400639,315869.052,233586.565,,4,High,,200,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,,,4449.052,2642.565
Railing,-6.249374002,53.34383275,316644.693,234025.179,Westmoreland street,4,High,30,200,High,High,Low,All,Good,Visible,,,,,,,,,8,,,5224.693,3081.179
Railing,-6.255238652,53.34522827,316250.334,234170.913,Pearce street,4,High,0,200,High,High,Low,All,Good,Visible,,,,,Yes,,,,8,,,4830.334,3226.913
Sheffield Stand,-6.267784685,53.34989648,315402.235,234670.053,"Wolfe Tone Street, outside Alexanders bridal shop",3,High,0,200,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,3982.235,3726.053
Sheffield Stand,-6.268844157,53.3519178,315326.232,234893.278,Start of kings inn street,4,High,0,200,Medium,High,Low,All,Good,Visible,,,,,,,,,8,,,3906.232,3949.278
Sheffield Stand,-6.266541481,53.34864922,315488.388,234533.264,"Jervis street, outside McDonolds.",3,High,100,200,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,,,4068.388,3589.264
Sheffield Stand,-6.26539886,53.33448808,315602.772,232959.23,Camden street lower,2,High,50,200,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,,,4182.772,2015.23
Sheffield Stand,-6.27489002,53.34357364,314946.122,233954.973,High street,5,High,0,200,High,High,Low,All,Good,Visible,,,,,,,,,10,,,3526.122,3010.973
Sheffield Stand,-6.263350993,53.33909021,315726.722,233474.681,"York street, royal college of surgeons",10,High,25,200,Medium,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20,,,4306.722,2530.681
Sheffield Stand,-6.268060952,53.34999014,315383.587,234680.029,Parnell street,3,High,,200,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,3963.587,3736.029
Sheffield Stand,-6.259502023,53.35296244,315945.429,235024.657,Marlborough street outside eircom and kanoodle,8,High,10,200,Medium,High,Low,All,Good,Unknown,,,,,,,,,16,,,4525.429,4080.657
Sheffield Stand,-6.266872734,53.35033197,315461.782,234719.989,Parnell street outside euro giant,5,High,20,200,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,10,,,4041.782,3775.989
Sheffield Stand,-6.256611943,53.35440329,316133.939,235189.694,Start of Summer hill,3,High,0,200,High,High,Low,All,Good,Visible,,,,,,,,,6,,,4713.939,4245.694
Sheffield Stand,-6.26113683,53.34013196,315871.369,233594.199,"St. Stephens Green, outside oxfam and specsavers",8,High,95,200,High,High,High,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16,,,4451.369,2650.199
Sheffield Stand,-6.267641187,53.34997173,315411.587,234678.658,"Parnell Street, outside Alexander's bridal shop",6,High,0,200,,High,Low,All,Good,Adjacent & Visible,,,,,,,,,12,,,3991.587,3734.658
Sheffield Stand,-6.250421405,53.34094069,316582.83,233701.635,Merrion square North,4,High,40,200,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,8,,,5162.83,2757.635
Sheffield Stand,-6.243741363,53.33881395,317033.547,233475.893,Mount street lower opposite new mount house,4,High,25,200,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,8,,,5613.547,2531.893
Sheffield Stand,-6.263815016,53.33274144,315713.001,232767.425,"Harcourt road, in front of regius building",4,High,87,200,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,,,4293.001,1823.425
Sheffield Stand,-6.264456064,53.33893887,315653.53,233456.05,Mercer street outside DCC,8,High,0,200,High,High,Low,All,Good,Unknown,,,,,,,,,16,,,4233.53,2512.05
Sheffield Stand,-6.259013861,53.352234,315979.91,234944.387,Marlborough street outside admiral restraunt,4,High,0,200,Medium,High,Low,All,Good,Unknown,,,,Yes,,,,,8,,,4559.91,4000.387
Sheffield Stand,-6.255112588,53.34845308,316249.955,234529.981,Eden Quay ooutside Liberty Hall,2,High,0,200,High,High,Low,All,Good,Visible,,,,,,,,,4,,,4829.955,3585.981
Sheffield Stand,-6.254687458,53.35073224,316272.062,234784.303,Talbot Street outside Singer shop,5,High,30,200,High,High,Low,All,Good,Visible,,,,,,,,,10,,,4852.062,3840.303
Sheffield Stand,-6.262134612,53.33883157,315808.438,233447.871,"York street, across from Dublinbike station",10,High,25,200,Medium,High,Low,All,Good,Unknown,,,,,,,,,20,,,4388.438,2503.871
Sheffield Stand,-6.263308078,53.34064683,315725.365,233647.975,Johnstons place outside pearls shop,5,High,80,200,High,High,Low,All,Good,Unknown,,,,,,,,,10,,,4305.365,2703.975
Sheffield Stand,-6.26537472,53.33501182,315602.964,233017.552,"Camden street lower, outside cracker nut cafe",4,High,12,200,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,,,4182.964,2073.552
Sheffield Stand,-6.265439093,53.35618587,315541.409,235373.744,Blessignton street outside La Pausa cafe,2,High,50,200,High,High,Low,All,Good,Visible,,,,,,,,,4,,,4121.409,4429.744
Sheffield Stand,-6.259095669,53.35946908,315954.82,235749.39,North circular road and belvidire road junction,3,High,,200,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,4534.82,4805.39
Sheffield Stand,-6.265355945,53.3351824,315603.753,233036.565,"Camden street lower, across from Fontana cafe",2,High,0,200,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,,,4183.753,2092.565
Sheffield Stand,-6.265075654,53.35358842,315572.633,235085.282,Parnell square west,4,High,20,200,High,High,Low,All,Good,Unknown,,,,,,,,,8,,,4152.633,4141.282
Sheffield Stand,-6.250158548,53.34184388,316597.872,233802.573,Merrion street lower island,4,High,50,200,High,High,Low,All,Good,Unknown,,,,,,,,,8,,,5177.872,2858.573
Sheffield Stand,-6.256172061,53.3341197,316218.377,232933.21,Hatch street lower,3,High,100,200,Medium,High,Low,All,Good,Visible,,,,,,,,,6,,,4798.377,1989.21
Sheffield Stand,-6.268229932,53.34716815,315379.955,234365.718,Capel street outside capel kebab and pizza house,3,High,100,200,High,High,Low,All,Good,Unknown,,,,,,,,,6,,,3959.955,3421.718
Sheffield Stand,-6.266204864,53.34744836,315514.049,234400.174,Jervis street opposite TP Smiths,3,High,100,200,High,High,Low,All,Good,Unknown,,,,,,,,,6,,,4094.049,3456.174
Sheffield Stand,-6.27913177,53.34645482,314655.905,234268.779,Aaran quay outside bank of Ireland,4,High,0,200,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,8,,,3235.905,3324.779
Sheffield Stand,-6.267873198,53.34572226,315407.616,234205.393,Grattan bridge ,6,High,33,200,High,High,Low,All,Good,Unknown,,,,,,,,,12,,,3987.616,3261.393
Sheffield Stand,-6.267226785,53.34433076,315454.422,234051.588,Parliament Street across from florentina restaurant,3,High,100,200,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,,,4034.422,3107.588
Sheffield Stand,-6.267397106,53.34442924,315442.813,234062.272,"Parliament street, outside subway ",2,High,75,200,High,High,Low,All,Good,Visible,,,,,,,,,4,,,4022.813,3118.272
Sheffield Stand,-6.257717013,53.34716014,316080.042,234381.864,Burgh quay,4,High,25,200,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,,,4660.042,3437.864
Sheffield Stand,-6.292895526,53.33847123,313760.594,233358.334,Fatima luas stop,5,High,10,200,Medium,High,Low,All,Good,Unknown,,,Yes,,,,,,10,,,2340.594,2414.334
Sheffield Stand,-6.277207285,53.34695199,314782.725,234327.197,Phoenix street north,7,High,33,200,Medium,High,Low,All,Good,Visible,,,,,,,,,14,,,3362.725,3383.197
Sheffield Stand,-6.246668994,53.33943693,316836.853,233540.426,Merrion square east,5,High,80,200,High,High,Low,All,Good,Visible,,,,,,,,,10,,,5416.853,2596.426
Sheffield Stand,-6.270769984,53.35073624,315201.19,234758.683,North kings street,3,High,,200,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,,,3781.19,3814.683
Sheffield Stand,-6.270670742,53.35059775,315208.171,234743.431,North kings streetboutside macro,3,High,15,200,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,,,3788.171,3799.431
Sheffield Stand,-6.248680651,53.33709791,316709.257,233276.846,Fitzwilliam street lower,4,High,20,200,High,High,Low,All,Good,Visible,,,,,,,,,8,,,5289.257,2332.846
Sheffield Stand,-6.272837967,53.36211259,315032.851,236021.338,Phisborough road opposite mc donalds,3,High,85,200,High,High,Low,All,Good,Unknown,,,,,,,,,6,,,3612.851,5077.338
Sheffield Stand,-6.262333095,53.34814966,315769.972,234484.486,Middle abbey street ,3,High,0,200,High,High,Low,All,Good,Visible,,,,,,,,,6,,,4349.972,3540.486
Sheffield Stand,-6.262656301,53.34799275,315748.875,234466.501,Middle abbey street outside hidden hearing.,4,High,37,200,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,,,4328.875,3522.501
Sheffield Stand,-6.260793507,53.3481929,315872.375,234491.795,"Middle abbey street, outside celebration party shop.",4,High,75,200,High,High,Low,All,Good,Visible,,,,,,,,,8,,,4452.375,3547.795
Sheffield Stand,-6.256654859,53.33898211,316173.002,233473.523,St Stephen's green North,8,High,20,200,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,16,,,4753.002,2529.523
Sheffield Stand,-6.255034804,53.34144673,316274.198,233750.427,,3,High,50,200,Medium,High,Low,All,Good,Unknown,,,,,,,,,7,,,4854.198,2806.427
Sheffield Stand,-6.258557886,53.34909033,316018.807,234595.293,Sack like place,2,High,4,200,Medium,High,Low,,Good,Visible,,,,,,,,,4,,,4598.807,3651.293
Sheffield Stand,-6.257915497,53.34132102,316082.686,233731.752,Goldsworthy street outside Foxx Coffee House,6,High,100,200,Medium,High,Low,All,Good,Unknown,,,,,,,,,12,,,4662.686,2787.752
Sheffield Stand,-6.252296269,53.34185349,316455.475,233800.154,Lincoln Place,4,High,40,200,High,High,Low,All,Good,Unknown,,,,,,,,,8,,,5035.475,2856.154
Sheffield Stand,-6.244401187,53.33711313,316994.256,233285.541,Mount street upper,6,High,30,200,Medium,High,Low,All,Good,Unknown,,,,,,,,,12,,,5574.256,2341.541
Sheffield Stand,-6.245165616,53.33927038,316937.438,233524.352,Mount street lower opposite howl at the moon club,3,High,50,200,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,5517.438,2580.352
